mu,p,sttc
<<<<<<< HEAD
0.1,0.1,0.00037746533
0.1,0.2,0.0004276365
0.1,0.7,0.0005324617
0.1,1.0,0.0004580299
0.5,0.1,0.0003861956
0.5,0.2,0.00042622662
0.5,0.7,0.0006144832
0.5,1.0,0.0007493774
1.0,0.1,0.0004030166
1.0,0.2,0.00043360493
1.0,0.7,0.96601874
1.0,1.0,0.97594446
1.5,0.1,0.00043221161
1.5,0.2,0.00044286292
1.5,0.7,0.96811455
1.5,1.0,0.9761642
2.0,0.1,0.00045200624
2.0,0.2,0.00063289126
2.0,0.7,0.9727989
=======
0.1,0.1,0.00045060596
0.1,0.2,0.0005152129
0.1,0.7,0.00060177123
0.1,1.0,0.0005314664
0.5,0.1,0.0004530248
0.5,0.2,0.00051374815
0.5,0.7,0.00059451297
0.5,1.0,0.0007719762
1.0,0.1,0.00045382703
1.0,0.2,0.000520038
1.0,0.7,0.96631896
1.0,1.0,0.97599137
1.5,0.1,0.00047162047
1.5,0.2,0.0005280328
1.5,0.7,0.9683551
1.5,1.0,0.97618365
2.0,0.1,0.000475127
2.0,0.2,0.0007461814
2.0,0.7,0.9729285
2.0,1.0,0.975276
5.0,0.1,0.9675411
5.0,0.2,0.9703899
5.0,0.7,0.9797434
5.0,1.0,0.97977835
10.0,0.1,0.9788364
10.0,0.2,0.9798116
10.0,0.7,0.9798018
10.0,1.0,0.9798018
>>>>>>> 8cca3582ed20a19d3f604c36503c4c27779cbf05
